unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.59982E+12,9/11/2020 10:00,BTC/USDT,10320.36,10323.88,10275,10287.61,5034.98,51833818.81,22122
1.59981E+12,9/11/2020 9:00,BTC/USDT,10292.83,10334.99,10288.38,10320.36,8349.161,86114887.56,27939
1.59981E+12,9/11/2020 8:00,BTC/USDT,10260,10309,10251.73,10292.83,8492.872,87311018.32,30023
1.59981E+12,9/11/2020 7:00,BTC/USDT,10261.12,10287.99,10240.11,10260,5385.551,55266510.03,20238
1.5998E+12,9/11/2020 6:00,BTC/USDT,10285.09,10292.54,10245.9,10261.18,4936.785,50681158.46,20713
1.5998E+12,9/11/2020 5:00,BTC/USDT,10224.87,10286.97,10217.69,10285.09,5668.862,58143105.71,21819
1.5998E+12,9/11/2020 4:00,BTC/USDT,10222.35,10265,10200.8,10224.87,8525.048,87260948.07,27744
1.59979E+12,9/11/2020 3:00,BTC/USDT,10259.96,10274.31,10212,10221.7,8812.283,90253739.62,29845
1.59979E+12,9/11/2020 2:00,BTC/USDT,10305.47,10315.67,10251,10259.96,7547.185,77587252.73,24685
1.59979E+12,9/11/2020 1:00,BTC/USDT,10337.97,10350,10293.77,10305.47,6213.468,64113658.36,23911
1.59978E+12,9/11/2020 0:00,BTC/USDT,10335.91,10380.5,10333.1,10337.96,4741.171,49124450.34,20850
1.59978E+12,9/10/2020 23:00,BTC/USDT,10341.49,10348,10307.83,10335.91,3166.094,32697168.5,20112
1.59978E+12,9/10/2020 22:00,BTC/USDT,10340.8,10356.28,10322.38,10341.48,3378.716,34942159.66,19261
1.59977E+12,9/10/2020 21:00,BTC/USDT,10296.53,10352,10286.7,10340.8,3642.912,37587194.39,18262
1.59977E+12,9/10/2020 20:00,BTC/USDT,10269.88,10331,10262.95,10296.52,5763.987,59411598.46,22579
1.59976E+12,9/10/2020 19:00,BTC/USDT,10283.35,10299.99,10250.01,10269.36,7404.362,76073631.97,25057
1.59976E+12,9/10/2020 18:00,BTC/USDT,10349.92,10374,10254.07,10283.53,11967.159,123239438,34725
1.59976E+12,9/10/2020 17:00,BTC/USDT,10336.39,10384.56,10332.7,10349.92,5190.383,53780556.79,23583
1.59975E+12,9/10/2020 16:00,BTC/USDT,10414.51,10443.51,10303.5,10336.39,13132.558,135970187.3,44682
1.59975E+12,9/10/2020 15:00,BTC/USDT,10365.01,10433,10350,10414.51,10205.603,105997932.7,33573
1.59975E+12,9/10/2020 14:00,BTC/USDT,10435.57,10484.6,10357.08,10364.85,18167.109,189475926.4,49775
1.59974E+12,9/10/2020 13:00,BTC/USDT,10361.11,10456.81,10352.66,10435.57,13487.422,140266529,41835
1.59974E+12,9/10/2020 12:00,BTC/USDT,10293.11,10376.52,10286.34,10361.11,8812.767,91102611.7,32585
1.59974E+12,9/10/2020 11:00,BTC/USDT,10268.33,10312.74,10256.16,10293.12,3758.239,38660075.33,19829
1.59973E+12,9/10/2020 10:00,BTC/USDT,10277.6,10322,10243.63,10268.33,7218.143,74236814.67,28516
1.59973E+12,9/10/2020 9:00,BTC/USDT,10267.32,10283.89,10233,10277.6,6347.733,65137982.03,24731
1.59972E+12,9/10/2020 8:00,BTC/USDT,10274.19,10295,10252,10267.32,6809.88,69969047.31,23886
1.59972E+12,9/10/2020 7:00,BTC/USDT,10328.4,10343.1,10251.48,10274.01,8368.012,86149580.95,26273
1.59972E+12,9/10/2020 6:00,BTC/USDT,10374.51,10383.54,10294.81,10327.49,7626.932,78875217.92,25472
1.59971E+12,9/10/2020 5:00,BTC/USDT,10381.44,10397.23,10356.54,10374.51,3935.323,40832532.91,20474
1.59971E+12,9/10/2020 4:00,BTC/USDT,10372.36,10421.03,10346.23,10381.96,5398.77,56063841.72,24636
1.59971E+12,9/10/2020 3:00,BTC/USDT,10365,10384.93,10342.63,10372.36,4613.292,47812479.29,21915
1.5997E+12,9/10/2020 2:00,BTC/USDT,10382.12,10408,10360.92,10365,6369.583,66118863.13,26362
1.5997E+12,9/10/2020 1:00,BTC/USDT,10275,10417.07,10255.94,10382.13,11992.895,124185592.3,43158
1.5997E+12,9/10/2020 0:00,BTC/USDT,10219.29,10328.12,10211.67,10275.01,10909.999,112271794.5,36741
1.59969E+12,9/9/2020 23:00,BTC/USDT,10274.8,10286,10176,10219.29,8577.376,87641604.73,32924
1.59969E+12,9/9/2020 22:00,BTC/USDT,10235.16,10277.24,10223.63,10274.8,3107.287,31868436.17,21035
1.59969E+12,9/9/2020 21:00,BTC/USDT,10252.24,10278.3,10227.09,10235.16,4271.331,43790618.38,20737
1.59968E+12,9/9/2020 20:00,BTC/USDT,10277.91,10297.94,10251.11,10252.57,3654.649,37545479.71,19115
1.59968E+12,9/9/2020 19:00,BTC/USDT,10325,10346,10276,10277.91,5726.743,59040407.72,24754
1.59967E+12,9/9/2020 18:00,BTC/USDT,10268.09,10338,10252.87,10324.99,7952.003,81916602.93,32288
1.59967E+12,9/9/2020 17:00,BTC/USDT,10241.37,10269.99,10213.55,10268.06,3760.24,38535405.2,20446
1.59967E+12,9/9/2020 16:00,BTC/USDT,10246,10269.02,10200,10241.36,6081.148,62197817.28,28130
1.59966E+12,9/9/2020 15:00,BTC/USDT,10235,10279.82,10235,10246,6105.877,62657283.45,26475
1.59966E+12,9/9/2020 14:00,BTC/USDT,10216.45,10261.61,10189.01,10235,8517.116,87141894.53,30016
1.59966E+12,9/9/2020 13:00,BTC/USDT,10192.52,10263.47,10192.5,10216.47,8356.093,85480865.26,32728
